OUT_TIME 0.01
# ext_x ext_y center_x center_y angle theta1 theta2 moment3_norm moment3_angle ext_potential
-0.5 0.866025 0 0 -1.5708 -29.1397 -29.0464 -5 8.66025 -400.416 
-0.499014 0.864317 0.000734799 -1.09641e-06 -1.57376 -29.1662 -29.1281 -4.99014 8.64317 -403.835 
-0.496058 0.859197 0.0012766 -3.26973e-06 -1.57584 -29.184 -29.1866 -4.96058 8.59198 -403.603 
-0.491144 0.850687 0.00167205 -5.55756e-06 -1.57731 -29.1959 -29.2282 -4.91145 8.50688 -400.718 
-0.484292 0.838819 0.00195899 -7.57526e-06 -1.57834 -29.204 -29.2578 -4.84293 8.3882 -395.714 
-0.475529 0.823641 0.00216656 -9.21677e-06 -1.57907 -29.2094 -29.2788 -4.7553 8.23642 -388.878 
-0.464889 0.805212 0.00231656 -1.04959e-05 -1.57958 -29.2132 -29.2939 -4.64891 8.05214 -380.374 
-0.452415 0.783606 0.00242504 -1.14686e-05 -1.57995 -29.2158 -29.3046 -4.52416 7.83608 -370.305 
-0.438155 0.758906 0.00250365 -1.21985e-05 -1.58021 -29.2177 -29.3125 -4.38156 7.58909 -358.745 
-0.422166 0.731212 0.00256083 -1.27426e-05 -1.58041 -29.2192 -29.3182 -4.22167 7.31215 -345.759 
-0.40451 0.700632 0.00260261 -1.31474e-05 -1.58056 -29.2204 -29.3225 -4.04512 7.00636 -331.405 
-0.385259 0.667288 0.00263332 -1.34491e-05 -1.58068 -29.2214 -29.3259 -3.85261 6.67291 -315.747 
-0.364486 0.631309 0.00265605 -1.36749e-05 -1.58078 -29.2223 -29.3285 -3.64489 6.31313 -298.848 
-0.342276 0.592839 0.00267301 -1.38448e-05 -1.58086 -29.2232 -29.3307 -3.42278 5.92843 -280.776 
-0.318714 0.55203 0.00268575 -1.39737e-05 -1.58094 -29.2242 -29.3326 -3.18717 5.52034 -261.604 
-0.293895 0.509041 0.00269542 -1.4072e-05 -1.58102 -29.2252 -29.3343 -2.93898 5.09046 -241.409 
-0.267916 0.464044 0.00270278 -1.41476e-05 -1.58109 -29.2263 -29.336 -2.67919 4.64049 -220.269 
-0.24088 0.417216 0.00270841 -1.42057e-05 -1.58117 -29.2276 -29.3377 -2.40882 4.1722 -198.269 
-0.212892 0.368741 0.00271268 -1.42502e-05 -1.58126 -29.229 -29.3394 -2.12895 3.68746 -175.497 
-0.184065 0.31881 0.00271584 -1.42834e-05 -1.58135 -29.2306 -29.3413 -1.84068 3.18815 -152.041 
-0.154511 0.267622 0.00271802 -1.43066e-05 -1.58146 -29.2325 -29.3433 -1.54514 2.67627 -127.996 
-0.124348 0.215377 0.00271927 -1.432e-05 -1.58159 -29.2348 -29.3457 -1.24351 2.15382 -103.457 
-0.0936937 0.162282 0.00271954 -1.43228e-05 -1.58173 -29.2374 -29.3484 -0.936968 1.62288 -78.5217 
-0.0626697 0.108547 0.00271864 -1.43129e-05 -1.58191 -29.2406 -29.3514 -0.626729 1.08553 -53.2897 
-0.0313984 0.0543836 0.00271628 -1.42865e-05 -1.58211 -29.2444 -29.3551 -0.314015 0.54389 -27.8627 
-3.14159e-06 5.4414e-06 0.00271197 -1.42372e-05 -1.58235 -29.249 -29.3594 -6.28319e-05 0.000108828 -2.34394 
0.0313921 -0.0543728 0.00270497 -1.41551e-05 -1.58265 -29.2547 -29.3645 0.31389 -0.543673 23.1612 
0.0626635 -0.108536 0.00269415 -1.40248e-05 -1.58301 -29.2617 -29.3707 0.626604 -1.08531 48.545 
0.0936876 -0.162272 0.00267785 -1.38219e-05 -1.58346 -29.2705 -29.3783 0.936845 -1.62266 73.6955 
0.124342 -0.215366 0.00265358 -1.35077e-05 -1.58402 -29.2816 -29.3875 1.24339 -2.15361 98.4945 
0.154506 -0.267611 0.00261764 -1.30197e-05 -1.58472 -29.2957 -29.399 1.54503 -2.67606 122.812 
0.184059 -0.3188 0.00256447 -1.22551e-05 -1.58561 -29.3141 -29.4134 1.84056 -3.18795 146.497 
0.212887 -0.368731 0.00248569 -1.10415e-05 -1.58676 -29.3381 -29.4314 2.12884 -3.68726 169.361 
0.240874 -0.417206 0.00236867 -9.08336e-06 -1.58826 -29.3698 -29.4544 2.40871 -4.17201 191.141 
0.267911 -0.464035 0.00219435 -5.86346e-06 -1.59023 -29.4123 -29.4838 2.67908 -4.6403 211.438 
0.29389 -0.509033 0.00193414 -4.5932e-07 -1.59285 -29.4699 -29.5218 2.93888 -5.09028 229.596 
0.31871 -0.552021 0.0015459 8.79375e-06 -1.59635 -29.5484 -29.5712 3.18707 -5.52017 244.468 
0.342271 -0.592831 0.000969851 2.48933e-05 -1.60106 -29.6561 -29.6357 3.42269 -5.92827 254.003 
0.364482 -0.631302 0.00012837 5.30704e-05 -1.60741 -29.8037 -29.72 3.6448 -6.31298 254.588 
0.385255 -0.667281 -0.00105925 0.00010164 -1.61588 -30.0032 -29.8303 3.85253 -6.67277 240.299 
0.404507 -0.700626 -0.00262465 0.000180908 -1.62694 -30.2639 -29.9734 4.04505 -7.00623 203.104 
0.422162 -0.731207 -0.00444367 0.000295435 -1.6407 -30.5838 -30.1564 4.22161 -7.31204 136.366 
0.438152 -0.758901 -0.00613806 0.000426915 -1.65667 -30.9393 -30.3843 4.3815 -7.58899 42.222 
0.452412 -0.783601 -0.00717821 0.000524051 -1.67362 -31.2883 -30.6548 4.52411 -7.83599 -65.2955 
0.464887 -0.805208 -0.0072357 0.000529066 -1.69009 -31.5913 -30.9536 4.64886 -8.05206 -168.549 
0.475527 -0.823637 -0.00642033 0.000424196 -1.70485 -31.8301 -31.2541 4.75526 -8.23636 -255.103 
0.484291 -0.838816 -0.00513063 0.000241606 -1.71717 -32.0063 -31.528 4.8429 -8.38815 -319.454 
0.491143 -0.850685 -0.00375518 3.1754e-05 -1.72686 -32.131 -31.7573 4.91142 -8.50684 -362.359 
0.496057 -0.859196 -0.00252232 -0.000166939 -1.73415 -32.2172 -31.9372 4.96057 -8.59195 -388.483 
0.499013 -0.864316 -0.00151403 -0.000335917 -1.73945 -32.2758 -32.0725 4.99013 -8.64316 -403.145 
0.5 -0.866025 -0.000730338 -0.000470907 -1.74324 -32.3152 -32.1716 5 -8.66025 -410.444 
0.499014 -0.864317 -0.00013884 -0.000574757 -1.74592 -32.3416 -32.2431 4.99014 -8.64317 -412.981 
0.496058 -0.859197 0.000299817 -0.000652799 -1.7478 -32.3591 -32.2941 4.96058 -8.59198 -412.242 
0.491144 -0.850687 0.000621619 -0.00071058 -1.74911 -32.3709 -32.3303 4.91145 -8.50688 -409.033 
0.484292 -0.838819 0.000856133 -0.000752959 -1.75003 -32.3787 -32.3561 4.84293 -8.3882 -403.784 
0.475529 -0.823641 0.0010264 -0.000783864 -1.75068 -32.384 -32.3744 4.7553 -8.23642 -396.725 
0.464889 -0.805212 0.00114985 -0.000806342 -1.75113 -32.3877 -32.3875 4.64891 -8.05214 -387.994 
0.452415 -0.783606 0.0012394 -0.000822683 -1.75146 -32.3902 -32.3969 4.52416 -7.83608 -377.678 
0.438155 -0.758906 0.00130452 -0.000834587 -1.7517 -32.3921 -32.4037 4.38156 -7.58909 -365.846 
0.422166 -0.731212 0.00135209 -0.000843291 -1.75188 -32.3935 -32.4088 4.22167 -7.31215 -352.558 
0.40451 -0.700632 0.00138705 -0.000849696 -1.75201 -32.3947 -32.4126 4.04512 -7.00636 -337.875 
0.385259 -0.667288 0.00141298 -0.000854448 -1.75212 -32.3957 -32.4156 3.85261 -6.67291 -321.858 
0.364486 -0.631309 0.00143242 -0.000858012 -1.75222 -32.3966 -32.418 3.64489 -6.31313 -304.573 
0.342276 -0.592839 0.0014472 -0.000860723 -1.7523 -32.3976 -32.4201 3.42278 -5.92843 -286.089 
0.318714 -0.55203 0.00145861 -0.00086282 -1.75237 -32.3985 -32.4219 3.18717 -5.52034 -266.48 
0.293895 -0.509041 0.00146761 -0.000864472 -1.75245 -32.3996 -32.4236 2.93898 -5.09046 -245.824 
0.267916 -0.464044 0.00147486 -0.000865803 -1.75253 -32.4008 -32.4254 2.67919 -4.64049 -224.202 
0.24088 -0.417216 0.00148083 -0.0008669 -1.75261 -32.4021 -32.4271 2.40882 -4.1722 -201.701 
0.212892 -0.368741 0.00148585 -0.000867824 -1.75271 -32.4036 -32.429 2.12895 -3.68746 -178.409 
0.184065 -0.31881 0.00149015 -0.000868616 -1.75281 -32.4053 -32.4311 1.84068 -3.18815 -154.419 
0.154511 -0.267622 0.00149387 -0.000869299 -1.75293 -32.4073 -32.4334 1.54514 -2.67627 -129.827 
0.124348 -0.215377 0.00149704 -0.000869884 -1.75306 -32.4097 -32.436 1.24351 -2.15382 -104.73 
0.0936937 -0.162282 0.00149965 -0.000870365 -1.75322 -32.4125 -32.439 0.936968 -1.62288 -79.2273 
0.0626697 -0.108547 0.00150156 -0.000870717 -1.75341 -32.4159 -32.4425 0.626729 -1.08553 -53.4226 
0.0313984 -0.0543836 0.00150251 -0.000870894 -1.75364 -32.42 -32.4467 0.314015 -0.54389 -27.4196 
3.14159e-06 -5.4414e-06 0.00150209 -0.000870816 -1.75391 -32.4249 -32.4516 6.28319e-05 -0.000108828 -1.32467 
-0.0313921 0.0543728 0.00149961 -0.000870356 -1.75424 -32.4311 -32.4575 -0.31389 0.543673 24.7534 
-0.0626635 0.108536 0.00149401 -0.000869316 -1.75464 -32.4387 -32.4647 -0.626604 1.08531 50.7027 
-0.0936876 0.162272 0.00148367 -0.00086739 -1.75515 -32.4482 -32.4735 -0.936845 1.62266 76.406 
-0.124342 0.215366 0.0014661 -0.000864109 -1.75577 -32.4604 -32.4843 -1.24339 2.15361 101.737 
-0.154506 0.267611 0.00143751 -0.000858746 -1.75657 -32.476 -32.4978 -1.54503 2.67606 126.555 
-0.184059 0.3188 0.00139206 -0.000850179 -1.75759 -32.4963 -32.5146 -1.84056 3.18795 150.689 
-0.212887 0.368731 0.00132081 -0.000836662 -1.75891 -32.5231 -32.5359 -2.12884 3.68726 173.918 
-0.240874 0.417206 0.00121003 -0.000815473 -1.76063 -32.5588 -32.5632 -2.40871 4.17201 195.918 
-0.267911 0.464035 0.00103872 -0.000782351 -1.7629 -32.607 -32.5982 -2.67908 4.6403 216.182 
-0.29389 0.509033 0.000775139 -0.000730657 -1.76594 -32.6725 -32.6436 -2.93888 5.09028 233.84 
-0.31871 0.552021 0.000372415 -0.000650182 -1.77003 -32.7626 -32.7028 -3.18707 5.52017 247.353 
-0.342271 0.592831 -0.000234816 -0.000525804 -1.77554 -32.8866 -32.7803 -3.42269 5.92827 253.951 
-0.364482 0.631302 -0.0011267 -0.000337101 -1.78297 -33.0565 -32.8817 -3.6448 6.31298 248.834 
-0.385255 0.667281 -0.00237135 -6.25359e-05 -1.79282 -33.2843 -33.0139 -3.85253 6.67277 224.586 
-0.404507 0.700626 -0.00394986 0.000304203 -1.80545 -33.5759 -33.1838 -4.04505 7.00623 172.597 
-0.422162 0.731207 -0.00563894 0.000721184 -1.82071 -33.92 -33.3973 -4.22161 7.31204 89.0964 
-0.438152 0.758901 -0.0069813 0.00107493 -1.83767 -34.2818 -33.6549 -4.3815 7.58899 -17.2334 
-0.452412 0.783601 -0.00752423 0.00122697 -1.85481 -34.6162 -33.9469 -4.52411 7.83599 -127.695 
-0.464887 0.805208 -0.00716367 0.00111737 -1.87067 -34.8917 -34.2508 -4.64886 8.05206 -225.315 
-0.475527 0.823637 -0.00617814 0.000804544 -1.88423 -35.1008 -34.5375 -4.75526 8.23636 -301.069 
-0.484291 0.838816 -0.00496097 0.000402333 -1.89511 -35.2513 -34.7843 -4.8429 8.38815 -353.609 
-0.491143 0.850685 -0.00379485 4.76305e-06 -1.90339 -35.3563 -34.9818 -4.91142 8.50684 -386.854 
-0.496057 0.859196 -0.00280868 -0.000339308 -1.90947 -35.4282 -35.132 -4.96057 8.59195 -406.452 
-0.499013 0.864316 -0.00202924 -0.000615796 -1.91382 -35.4767 -35.2426 -4.99013 8.64316 -417.2 
-0.5 0.866025 -0.00143645 -0.000828544 -1.91689 -35.5091 -35.3224 -5 8.66025 -422.299 
-0.499014 0.864317 -0.000995837 -0.000987976 -1.91904 -35.5308 -35.3792 -4.99014 8.64317 -423.626 
-0.496058 0.859197 -0.000672959 -0.00110547 -1.92054 -35.5452 -35.4194 -4.96058 8.59198 -422.201 
-0.491144 0.850687 -0.000438487 -0.00119113 -1.92157 -35.5548 -35.4477 -4.91145 8.50688 -418.566 
-0.484292 0.838819 -0.000269159 -0.00125316 -1.9223 -35.5612 -35.4677 -4.84293 8.3882 -413.005 
-0.475529 0.823641 -0.000147232 -0.00129791 -1.9228 -35.5656 -35.4818 -4.7553 8.23642 -405.677 
-0.464889 0.805212 -5.94897e-05 -0.00133015 -1.92316 -35.5686 -35.4918 -4.64891 8.05214 -396.678 
-0.452415 0.783606 3.75058e-06 -0.00135341 -1.92341 -35.5707 -35.499 -4.52416 7.83608 -386.078 
-0.438155 0.758906 4.95068e-05 -0.00137026 -1.9236 -35.5722 -35.5042 -4.38156 7.58909 -373.935 
-0.422166 0.731212 8.28237e-05 -0.00138253 -1.92374 -35.5734 -35.5081 -4.22167 7.31215 -360.308 
-0.40451 0.700632 0.000107308 -0.00139155 -1.92384 -35.5744 -35.511 -4.04512 7.00636 -345.253 
-0.385259 0.667288 0.000125531 -0.00139826 -1.92393 -35.5753 -35.5134 -3.85261 6.67291 -328.833 
-0.364486 0.631309 0.000139322 -0.00140335 -1.92401 -35.5761 -35.5153 -3.64489 6.31313 -311.114 
-0.342276 0.592839 0.000149984 -0.00140728 -1.92408 -35.577 -35.517 -3.42278 5.92843 -292.167 
-0.318714 0.55203 0.000158446 -0.0014104 -1.92414 -35.5779 -35.5185 -3.18717 5.52034 -272.067 
-0.293895 0.509041 0.000165375 -0.00141296 -1.92421 -35.5788 -35.52 -2.93898 5.09046 -250.894 
-0.267916 0.464044 0.000171247 -0.00141512 -1.92428 -35.5799 -35.5216 -2.67919 4.64049 -228.732 
-0.24088 0.417216 0.000176409 -0.00141703 -1.92436 -35.5811 -35.5232 -2.40882 4.1722 -205.668 
-0.212892 0.368741 0.000181107 -0.00141876 -1.92445 -35.5825 -35.525 -2.12895 3.68746 -181.793 
-0.184065 0.31881 0.000185515 -0.00142039 -1.92454 -35.5841 -35.5269 -1.84068 3.18815 -157.204 
-0.154511 0.267622 0.000189749 -0.00142195 -1.92466 -35.586 -35.5292 -1.54514 2.67627 -131.996 
-0.124348 0.215377 0.000193874 -0.00142348 -1.92479 -35.5882 -35.5317 -1.24351 2.15382 -106.27 
-0.0936937 0.162282 0.000197898 -0.00142496 -1.92494 -35.5909 -35.5347 -0.936968 1.62288 -80.129 
-0.0626697 0.108547 0.000201766 -0.00142639 -1.92512 -35.594 -35.5382 -0.626729 1.08553 -53.6775 
-0.0313984 0.0543836 0.000205337 -0.00142772 -1.92534 -35.5979 -35.5423 -0.314015 0.54389 -27.0221 
-3.14159e-06 5.4414e-06 0.000208344 -0.00142883 -1.92561 -35.6026 -35.5473 -6.28319e-05 0.000108828 -0.271707 
0.0313921 -0.0543728 0.000210333 -0.00142957 -1.92593 -35.6084 -35.5532 0.31389 -0.543673 26.4627 
0.0626635 -0.108536 0.000210561 -0.00142965 -1.92633 -35.6157 -35.5605 0.626604 -1.08531 53.0666 
0.0936876 -0.162272 0.000207844 -0.00142864 -1.92682 -35.6248 -35.5694 0.936845 -1.62266 79.4205 
0.124342 -0.215366 0.000200303 -0.00142583 -1.92744 -35.6365 -35.5805 1.24339 -2.15361 105.396 
0.154506 -0.267611 0.000184979 -0.00142012 -1.92824 -35.6515 -35.5943 1.54503 -2.67606 130.849 
0.184059 -0.3188 0.00015722 -0.00140973 -1.92925 -35.6713 -35.6118 1.84056 -3.18795 155.606 
0.212887 -0.368731 0.000109717 -0.0013919 -1.93058 -35.6974 -35.6341 2.12884 -3.68726 179.438 
0.240874 -0.417206 3.10222e-05 -0.00136222 -1.93232 -35.7323 -35.6628 2.40871 -4.17201 202.014 
0.267911 -0.464035 -9.67045e-05 -0.00131374 -1.93464 -35.7798 -35.7 2.67908 -4.6403 222.802 
0.29389 -0.509033 -0.000300921 -0.00123561 -1.93775 -35.8448 -35.7486 2.93888 -5.09028 240.886 
0.31871 -0.552021 -0.000622767 -0.0011111 -1.94196 -35.9347 -35.8126 3.18707 -5.52017 254.619 
0.342271 -0.592831 -0.00112037 -0.000915761 -1.94768 -36.0593 -35.8971 3.42269 -5.92827 261.003 
0.364482 -0.631302 -0.00186553 -0.000617429 -1.95543 -36.2311 -36.0086 3.6448 -6.31298 254.79 
0.385255 -0.667281 -0.00291831 -0.000184881 -1.96577 -36.4627 -36.1547 3.85253 -6.67277 227.806 
0.404507 -0.700626 -0.00425559 0.000382971 -1.97906 -36.76 -36.343 4.04505 -7.00623 170.593 
0.422162 -0.731207 -0.00566279 0.00100462 -1.99509 -37.1106 -36.5781 4.22161 -7.31204 79.3625 
0.438152 -0.758901 -0.00672276 0.00149367 -2.01277 -37.4774 -36.8572 4.3815 -7.58899 -35.3484 
0.452412 -0.783601 -0.00706339 0.00165711 -2.03039 -37.8134 -37.1648 4.52411 -7.83599 -151.794 
0.464887 -0.805208 -0.00665808 0.0014513 -2.04634 -38.0877 -37.4733 4.64886 -8.05206 -250.951 
0.475527 -0.823637 -0.00579365 0.00099818 -2.05965 -38.2942 -37.7531 4.75526 -8.23636 -324.307 
0.484291 -0.838816 -0.00480247 0.000464021 -2.07005 -38.4421 -37.9855 4.8429 -8.38815 -372.836 
0.491143 -0.850685 -0.00389324 -3.65247e-05 -2.07781 -38.5447 -38.1661 4.91142 -8.50684 -402.426 
0.496057 -0.859196 -0.00314638 -0.000454149 -2.0834 -38.6147 -38.3003 4.96057 -8.59195 -419.436 
0.499013 -0.864316 -0.00256839 -0.000780948 -2.08734 -38.6619 -38.3973 4.99013 -8.64316 -428.574 
0.5 -0.866025 -0.00213604 -0.00102731 -2.09009 -38.6934 -38.4661 5 -8.66025 -432.729 
0.499014 -0.864317 -0.00181916 -0.00120885 -2.09198 -38.7143 -38.5145 4.99014 -8.64317 -433.501 
0.496058 -0.859197 -0.00158987 -0.00134069 -2.09329 -38.7282 -38.5482 4.96058 -8.59198 -431.726 
0.491144 -0.850687 -0.00142531 -0.00143556 -2.09419 -38.7375 -38.5717 4.91145 -8.50688 -427.835 
0.484292 -0.838819 -0.00130779 -0.00150342 -2.0948 -38.7436 -38.5881 4.84293 -8.3882 -422.051 
0.475529 -0.823641 -0.00122406 -0.00155184 -2.09523 -38.7478 -38.5995 4.7553 -8.23642 -414.499 
0.464889 -0.805212 -0.00116438 -0.00158637 -2.09553 -38.7506 -38.6075 4.64891 -8.05214 -405.259 
0.452415 -0.783606 -0.00112175 -0.00161105 -2.09574 -38.7526 -38.6132 4.52416 -7.83608 -394.391 
0.438155 -0.758906 -0.00109114 -0.00162879 -2.09589 -38.7541 -38.6173 4.38156 -7.58909 -381.951 
0.422166 -0.731212 -0.00106896 -0.00164164 -2.096 -38.7552 -38.6204 4.22167 -7.31215 -367.993 
0.40451 -0.700632 -0.0010527 -0.00165106 -2.09609 -38.7561 -38.6227 4.04512 -7.00636 -352.577 
0.385259 -0.667288 -0.00104057 -0.00165809 -2.09616 -38.7569 -38.6245 3.85261 -6.67291 -335.763 
0.364486 -0.631309 -0.00103132 -0.00166346 -2.09622 -38.7576 -38.626 3.64489 -6.31313 -317.621 
0.342276 -0.592839 -0.00102404 -0.00166767 -2.09628 -38.7583 -38.6274 3.42278 -5.92843 -298.221 
0.318714 -0.55203 -0.00101812 -0.0016711 -2.09633 -38.759 -38.6286 3.18717 -5.52034 -277.641 
0.293895 -0.509041 -0.0010131 -0.00167402 -2.09639 -38.7598 -38.6298 2.93898 -5.09046 -255.962 
0.267916 -0.464044 -0.00100865 -0.0016766 -2.09645 -38.7607 -38.6311 2.67919 -4.64049 -233.27 
0.24088 -0.417216 -0.00100451 -0.001679 -2.09651 -38.7617 -38.6325 2.40882 -4.1722 -209.655 
0.212892 -0.368741 -0.00100052 -0.00168131 -2.09658 -38.7628 -38.634 2.12895 -3.68746 -185.211 
0.184065 -0.31881 -0.000996535 -0.00168363 -2.09666 -38.7642 -38.6356 1.84068 -3.18815 -160.033 
0.154511 -0.267622 -0.000992438 -0.00168601 -2.09676 -38.7657 -38.6375 1.54514 -2.67627 -134.222 
0.124348 -0.215377 -0.000988147 -0.0016885 -2.09687 -38.7675 -38.6397 1.24351 -2.15382 -107.88 
0.0936937 -0.162282 -0.000983602 -0.00169114 -2.097 -38.7697 -38.6423 0.936968 -1.62288 -81.1114 
0.0626697 -0.108547 -0.000978768 -0.00169395 -2.09715 -38.7723 -38.6454 0.626729 -1.08553 -54.0237 
0.0313984 -0.0543836 -0.000973644 -0.00169692 -2.09734 -38.7755 -38.649 0.314015 -0.54389 -26.7252 
3.14159e-06 -5.4414e-06 -0.000968288 -0.00170004 -2.09757 -38.7794 -38.6533 6.28319e-05 -0.000108828 0.673747 
-0.0313921 0.0543728 -0.000962842 -0.00170321 -2.09784 -38.7842 -38.6586 -0.31389 0.543673 28.0609 
-0.0626635 0.108536 -0.00095759 -0.00170626 -2.09819 -38.7903 -38.6651 -0.626604 1.08531 55.3214 
-0.0936876 0.162272 -0.000953047 -0.00170891 -2.09861 -38.7979 -38.6731 -0.936845 1.62266 82.3366 
-0.124342 0.215366 -0.000950102 -0.00171063 -2.09915 -38.8076 -38.6831 -1.24339 2.15361 108.981 
-0.154506 0.267611 -0.000950249 -0.00171054 -2.09985 -38.8203 -38.6958 -1.54503 2.67606 135.118 
-0.184059 0.3188 -0.000955967 -0.0017072 -2.10074 -38.8368 -38.7118 -1.84056 3.18795 160.587 
-0.212887 0.368731 -0.000971316 -0.00169819 -2.10191 -38.8588 -38.7325 -2.12884 3.68726 185.185 
-0.240874 0.417206 -0.00100291 -0.0016796 -2.10345 -38.8884 -38.7593 -2.40871 4.17201 208.625 
-0.267911 0.464035 -0.00106139 -0.00164504 -2.10552 -38.9287 -38.7945 -2.67908 4.6403 230.46 
-0.29389 0.509033 -0.00116376 -0.00158421 -2.10831 -38.9842 -38.8411 -2.93888 5.09028 249.924 
-0.31871 0.552021 -0.00133646 -0.00148081 -2.11213 -39.0615 -38.9032 -3.18707 5.52017 265.634 
-0.342271 0.592831 -0.00161884 -0.00131 -2.11736 -39.1695 -38.9865 -3.42269 5.92827 275.021 
-0.364482 0.631302 -0.00206394 -0.00103696 -2.12455 -39.3204 -39.0981 -3.6448 6.31298 273.399 
-0.385255 0.667281 -0.00272732 -0.000622268 -2.1343 -39.5279 -39.2469 -3.85253 6.67277 252.88 
-0.404507 0.700626 -0.00362465 -4.72134e-05 -2.14716 -39.8028 -39.4418 -4.04505 7.00623 202.691 
-0.422162 0.731207 -0.00464736 0.000628919 -2.16317 -40.1413 -39.6883 -4.22161 7.31204 114.649 
-0.438152 0.758901 -0.00550913 0.00121948 -2.18142 -40.5139 -39.9825 -4.3815 7.58899 -5.52992 
-0.452412 0.783601 -0.00588801 0.0014886 -2.20007 -40.8722 -40.3059 -4.52411 7.83599 -134.487 
-0.464887 0.805208 -0.00569981 0.00134794 -2.21715 -41.1753 -40.6266 -4.64886 8.05206 -246.143 
-0.475527 0.823637 -0.00513837 0.000917369 -2.23136 -41.4083 -40.9127 -4.75526 8.23636 -327.525 
-0.484291 0.838816 -0.00446201 0.000385536 -2.24235 -41.5769 -41.1459 -4.8429 8.38815 -379.788 
-0.491143 0.850685 -0.00383636 -0.000115991 -2.25044 -41.6946 -41.3238 -4.91142 8.50684 -410.654 
-0.496057 0.859196 -0.00332464 -0.000531991 -2.2562 -41.775 -41.4537 -4.96057 8.59195 -427.904 
-0.499013 0.864316 -0.00293205 -0.000854313 -2.26021 -41.8292 -41.546 -4.99013 8.64316 -436.948 
-0.5 0.866025 -0.00264138 -0.00109461 -2.26296 -41.8654 -41.6105 -5 8.66025 -440.941 
-0.499014 0.864317 -0.00243061 -0.00126967 -2.26485 -41.8894 -41.6552 -4.99014 8.64317 -441.557 
-0.496058 0.859197 -0.00227975 -0.00139538 -2.26612 -41.9054 -41.6859 -4.96058 8.59198 -439.639 
-0.491144 0.850687 -0.00217262 -0.00148484 -2.26699 -41.916 -41.707 -4.91145 8.50688 -435.606 
-0.484292 0.838819 -0.00209692 -0.00154815 -2.26758 -41.923 -41.7214 -4.84293 8.3882 -429.67 
-0.475529 0.823641 -0.00204352 -0.00159286 -2.26798 -41.9277 -41.7313 -4.7553 8.23642 -421.948 
-0.464889 0.805212 -0.00200582 -0.00162443 -2.26825 -41.9309 -41.7382 -4.64891 8.05214 -412.514 
-0.452415 0.783606 -0.00197912 -0.00164681 -2.26844 -41.9331 -41.743 -4.52416 7.83608 -401.427 
-0.438155 0.758906 -0.00196007 -0.00166278 -2.26858 -41.9347 -41.7464 -4.38156 7.58909 -388.739 
