One group  442
# 
-0.73892 0.73892 -59.1357 
-3.14159 -3.14159 80 
-3.14159 -2.82743 78.0423 
-3.14159 -2.51327 72.3607 
-3.14159 -2.19911 63.5114 
-3.14159 -1.88496 52.3607 
-3.14159 -1.5708 40 
-3.14159 -1.25664 27.6393 
-3.14159 -0.942478 16.4886 
-3.14159 -0.628319 7.63932 
-3.14159 -0.314159 1.95774 
-3.14159 0 0 
-3.14159 0.314159 1.95774 
-3.14159 0.628319 7.63932 
-3.14159 0.942478 16.4886 
-3.14159 1.25664 27.6393 
-3.14159 1.5708 40 
-3.14159 1.88496 52.3607 
-3.14159 2.19911 63.5114 
-3.14159 2.51327 72.3607 
-3.14159 2.82743 78.0423 
-3.14159 3.14159 80 
-2.82743 -3.14159 78.0423 
-2.82743 -2.82743 76.0845 
-2.82743 -2.51327 70.4029 
-2.82743 -2.19911 61.5537 
-2.82743 -1.88496 50.4029 
-2.82743 -1.5708 38.0423 
-2.82743 -1.25664 25.6816 
-2.82743 -0.942478 14.5309 
-2.82743 -0.628319 5.68158 
-2.82743 -0.314159 0 
-2.82743 0 -1.95774 
-2.82743 0.314159 0 
-2.82743 0.628319 5.68158 
-2.82743 0.942478 14.5309 
-2.82743 1.25664 25.6816 
-2.82743 1.5708 38.0423 
-2.82743 1.88496 50.4029 
-2.82743 2.19911 61.5537 
-2.82743 2.51327 70.4029 
-2.82743 2.82743 76.0845 
-2.82743 3.14159 78.0423 
-2.51327 -3.14159 72.3607 
-2.51327 -2.82743 70.4029 
-2.51327 -2.51327 64.7214 
-2.51327 -2.19911 55.8721 
-2.51327 -1.88496 44.7214 
-2.51327 -1.5708 32.3607 
-2.51327 -1.25664 20 
-2.51327 -0.942478 8.84927 
-2.51327 -0.628319 -7.10543e-15 
-2.51327 -0.314159 -5.68158 
-2.51327 0 -7.63932 
-2.51327 0.314159 -5.68158 
-2.51327 0.628319 -7.10543e-15 
-2.51327 0.942478 8.84927 
-2.51327 1.25664 20 
-2.51327 1.5708 32.3607 
-2.51327 1.88496 44.7214 
-2.51327 2.19911 55.8721 
-2.51327 2.51327 64.7214 
-2.51327 2.82743 70.4029 
-2.51327 3.14159 72.3607 
-2.19911 -3.14159 63.5114 
-2.19911 -2.82743 61.5537 
-2.19911 -2.51327 55.8721 
-2.19911 -2.19911 47.0228 
-2.19911 -1.88496 35.8721 
-2.19911 -1.5708 23.5114 
-2.19911 -1.25664 11.1507 
-2.19911 -0.942478 -7.10543e-15 
-2.19911 -0.628319 -8.84927 
-2.19911 -0.314159 -14.5309 
-2.19911 0 -16.4886 
-2.19911 0.314159 -14.5309 
-2.19911 0.628319 -8.84927 
-2.19911 0.942478 -7.10543e-15 
-2.19911 1.25664 11.1507 
-2.19911 1.5708 23.5114 
-2.19911 1.88496 35.8721 
-2.19911 2.19911 47.0228 
-2.19911 2.51327 55.8721 
-2.19911 2.82743 61.5537 
-2.19911 3.14159 63.5114 
-1.88496 -3.14159 52.3607 
-1.88496 -2.82743 50.4029 
-1.88496 -2.51327 44.7214 
-1.88496 -2.19911 35.8721 
-1.88496 -1.88496 24.7214 
-1.88496 -1.5708 12.3607 
-1.88496 -1.25664 -3.55271e-15 
-1.88496 -0.942478 -11.1507 
-1.88496 -0.628319 -20 
-1.88496 -0.314159 -25.6816 
-1.88496 0 -27.6393 
-1.88496 0.314159 -25.6816 
-1.88496 0.628319 -20 
-1.88496 0.942478 -11.1507 
-1.88496 1.25664 -3.55271e-15 
-1.88496 1.5708 12.3607 
-1.88496 1.88496 24.7214 
-1.88496 2.19911 35.8721 
-1.88496 2.51327 44.7214 
-1.88496 2.82743 50.4029 
-1.88496 3.14159 52.3607 
-1.5708 -3.14159 40 
-1.5708 -2.82743 38.0423 
-1.5708 -2.51327 32.3607 
-1.5708 -2.19911 23.5114 
-1.5708 -1.88496 12.3607 
-1.5708 -1.5708 -4.89859e-15 
-1.5708 -1.25664 -12.3607 
-1.5708 -0.942478 -23.5114 
-1.5708 -0.628319 -32.3607 
-1.5708 -0.314159 -38.0423 
-1.5708 0 -40 
-1.5708 0.314159 -38.0423 
-1.5708 0.628319 -32.3607 
-1.5708 0.942478 -23.5114 
-1.5708 1.25664 -12.3607 
-1.5708 1.5708 -4.89859e-15 
-1.5708 1.88496 12.3607 
-1.5708 2.19911 23.5114 
