OUT_TIME 0.01
# ext_x ext_y center_x center_y angle theta1 theta2 moment3_norm moment3_angle ext_potential
6.12323e-17 1 0 0 0 1.45683 1.68476 6.12323e-16 10 -450.964 
6.11139e-17 0.998066 1.00327e-26 6.13358e-09 -2.19211e-18 1.45683 1.68476 6.11163e-16 9.98105 -450.088 
6.07543e-17 0.992193 1.48142e-25 4.57391e-08 -4.36735e-18 1.45683 1.68476 6.07591e-16 9.92271 -447.428 
6.01549e-17 0.982405 6.86071e-25 1.42612e-07 -6.51896e-18 1.45684 1.68475 6.01621e-16 9.82522 -442.994 
5.93182e-17 0.968739 1.98998e-24 3.13095e-07 -8.58451e-18 1.45684 1.68475 5.93277e-16 9.68895 -436.803 
5.82473e-17 0.95125 4.47273e-24 5.69131e-07 -1.06906e-17 1.45685 1.68474 5.82591e-16 9.51444 -428.881 
5.69465e-17 0.930008 8.25059e-24 9.20387e-07 -1.0699e-17 1.45687 1.68473 5.69607e-16 9.30238 -419.258 
5.5421e-17 0.905094 1.3094e-23 1.37575e-06 -1.05707e-17 1.45688 1.68471 5.54374e-16 9.05361 -407.973 
5.36768e-17 0.876609 1.90629e-23 1.94443e-06 -1.04324e-17 1.45691 1.68469 5.36953e-16 8.76911 -395.069 
5.17208e-17 0.844664 2.62455e-23 2.63672e-06 -1.0321e-17 1.45693 1.68466 5.17414e-16 8.45001 -380.599 
4.95606e-17 0.809386 3.47475e-23 3.46477e-06 -1.02029e-17 1.45696 1.68463 4.95832e-16 8.09755 -364.618 
4.72048e-17 0.770914 4.46566e-23 4.44319e-06 -1.00679e-17 1.457 1.68459 4.72293e-16 7.71314 -347.19 
4.46628e-17 0.729399 5.61324e-23 5.58974e-06 -9.95479e-18 1.45704 1.68455 4.46891e-16 7.29828 -328.384 
4.19445e-17 0.685005 6.9362e-23 6.92612e-06 -9.85184e-18 1.45709 1.6845 4.19725e-16 6.85463 -308.274 
3.90606e-17 0.637908 8.45924e-23 8.47894e-06 -9.7641e-18 1.45715 1.68444 3.90902e-16 6.38392 -286.94 
3.60226e-17 0.588293 1.02119e-22 1.02809e-05 -9.68984e-18 1.45722 1.68437 3.60537e-16 5.88801 -264.465 
3.28424e-17 0.536357 1.22313e-22 1.23722e-05 -9.61307e-18 1.4573 1.6843 3.28749e-16 5.36887 -240.939 
2.95326e-17 0.482304 1.45611e-22 1.48028e-05 -9.55401e-18 1.45739 1.6842 2.95663e-16 4.82854 -216.453 
2.61063e-17 0.426348 1.72581e-22 1.76348e-05 -9.49157e-18 1.45749 1.6841 2.61411e-16 4.26916 -191.105 
2.25769e-17 0.368709 2.03921e-22 2.09458e-05 -9.44348e-18 1.45762 1.68397 2.26127e-16 3.69293 -164.996 
1.89584e-17 0.309614 2.40555e-22 2.48337e-05 -9.40678e-18 1.45777 1.68383 1.8995e-16 3.10212 -138.227 
1.52651e-17 0.249298 2.83664e-22 2.94224e-05 -9.38612e-18 1.45794 1.68366 1.53024e-16 2.49907 -110.904 
1.15116e-17 0.187998 3.34764e-22 3.48705e-05 -9.37306e-18 1.45814 1.68345 1.15494e-16 1.88616 -83.1359 
7.71262e-18 0.125957 3.95818e-22 4.13821e-05 -9.37603e-18 1.45839 1.68321 7.75078e-17 1.2658 -55.0317 
3.88321e-18 0.0634176 4.69349e-22 4.92224e-05 -9.3854e-18 1.45868 1.68291 3.9216e-17 0.640446 -26.7024 
3.84734e-20 0.000628318 5.58766e-22 5.87389e-05 -9.40597e-18 1.45904 1.68255 7.69468e-19 0.0125664 1.74026 
-3.80641e-18 -0.0621634 6.68545e-22 7.03911e-05 -9.43856e-18 1.45948 1.68212 -3.76801e-17 -0.615363 30.1839 
-7.63628e-18 -0.12471 8.04779e-22 8.47921e-05 -9.48174e-18 1.46002 1.68158 -7.5981e-17 -1.24086 58.5163 
-1.1436e-17 -0.186764 9.7573e-22 0.000102768 -9.54065e-18 1.46069 1.6809 -1.13982e-16 -1.86147 86.6254 
-1.51906e-17 -0.248081 1.19276e-21 0.000125443 -9.60262e-18 1.46154 1.68005 -1.51533e-16 -2.47473 114.4 
-1.88852e-17 -0.308419 1.47136e-21 0.00015436 -9.67331e-18 1.46263 1.67897 -1.88486e-16 -3.07822 141.731 
-2.25054e-17 -0.36754 1.83391e-21 0.00019166 -9.76074e-18 1.46403 1.67757 -2.24696e-16 -3.66956 168.509 
-2.60366e-17 -0.425211 2.31139e-21 0.000240338 -9.85425e-18 1.46585 1.67574 -2.60018e-16 -4.24642 194.628 
-2.94652e-17 -0.481203 2.94897e-21 0.000304632 -9.9605e-18 1.46827 1.67332 -2.94315e-16 -4.80652 219.984 
-3.27774e-17 -0.535296 3.81043e-21 0.00039058 -1.00782e-17 1.47149 1.6701 -3.27449e-16 -5.34765 244.474 
-3.59603e-17 -0.587277 4.98906e-21 0.000506874 -1.0196e-17 1.47586 1.66573 -3.59292e-16 -5.86768 267.995 
-3.90013e-17 -0.63694 6.61601e-21 0.000666122 -1.04078e-17 1.48184 1.65976 -3.89716e-16 -6.36455 290.446 
-4.18884e-17 -0.684089 9.11428e-21 0.000886759 -1.21907e-17 1.49012 1.65147 -4.18603e-16 -6.83631 311.716 
-4.46101e-17 -0.728538 1.34479e-20 0.00119593 -1.64415e-17 1.50172 1.63987 -4.45837e-16 -7.28108 331.683 
-4.71558e-17 -0.770113 2.21344e-20 0.00163381 -2.35476e-17 1.51816 1.62343 -4.71312e-16 -7.69712 350.182 
-4.95154e-17 -0.808648 4.01549e-20 0.00226018 -3.38984e-17 1.54167 1.59992 -4.94927e-16 -8.08278 366.962 
-5.16795e-17 -0.843991 7.73232e-20 0.00316415 -4.84853e-17 1.57561 1.56599 -5.16589e-16 -8.43654 381.581 
-5.36398e-17 -0.876004 1.5359e-19 0.00447826 -6.78712e-17 1.62493 1.51666 -5.36212e-16 -8.75701 393.167 
-5.53883e-17 -0.904559 3.12898e-19 0.00639795 -9.89352e-17 1.69699 1.4446 -5.53719e-16 -9.04291 399.931 
-5.69182e-17 -0.929545 6.53276e-19 0.00920432 -1.42326e-16 1.80234 1.33926 -5.6904e-16 -9.29313 398.154 
